the_geom,address_full,close_time,open_time,food_type,food_description,fixed_or_moving,locations_description,cuisine_origin,cartodb_id,average_price_rmb,semester,taste,vendor_origin,cleanliness,notes,employment,photo_url
0101000020E6100000EDB776A224655E405C7347FFCB413F40,N/A,8:00 AM,6:00 AM,Taiwanese Pancakes ,Guy and girl combo.,Moving,N/A,N/A,22,5,Fall 2015,4,Anhui,4,Nothing out of the ordinary.,N/A,N/A
,,,,,,,,,324,,,,,,,,
,,,,,,,,,325,,,,,,,,
,,,,,,,,,326,,,,,,,,
,,,,,,,,,327,,,,,,,,
,,,,,,,,,328,,,,,,,,
,,,,,,,,,329,,,,,,,,
,,,,,,,,,330,,,,,,,,
0101000020E61000009E62D520CC615E4083E0F1ED5D3B3F40,"355 Weifang Road, Pudong",9:30 AM,6:00 AM,Wonton,N/A,Fixed,Inside the Yuanzhu Residence Area.,Shanghai,102,6,Spring 2016,4,N/A,4,N/A,N/A,"<IMG SRC=""https://web.fulcrumapp.com/shares/3f97b78e5ae90a62/photos/e526b662-ca21-40f9-960d-07cbcf06b0a5"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
,,,,,,,,,331,,,,,,,,
,,,,,,,,,332,,,,,,,,
,,,,,,,,,315,,,,,,,,
,,,,,,,,,318,,,,,,,,
,,,,,,,,,319,,,,,,,,
,,,,,,,,,320,,,,,,,,
0101000020E610000066BFEE74E7645E4090DB2F9FAC403F40,No. 165 Xijing Street,10:00 PM,12:00 AM,Corn and fruit,N/A,Moving,Around other street food vendors,Anhui,225,5,Spring 2017,3.5,Anhui,5,N/A,Self-employed,N/A
0101000020E6100000CEDF8442045D5E40F1B73D4162373F40,No. 999 Middle Huaihai Road,6:30 AM,10:00 AM,Scallion Pancakes,N/A,Moving,Across from the IAPM Mall,N/A,281,8,Spring 2017,5,N/A,3,N/A,N/A,N/A
0101000020E61000006C7C26FBE7615E40C39E76F86B3A3F40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,,Spring 2015,,N/A,,N/A,N/A,N/A
0101000020E6100000158E209562615E403D9E961FB8363F40,N/A,12:00 AM,9:00 PM,Fried Tofu,Fermented fried tofu.,Moving,N/A,Taiwan,28,2.5,Fall 2015,1,Anhui,4,N/A,N/A,"<IMG SRC=""http://i60.tinypic.com/nnp6pk.jpg"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E6100000BCEB6CC83F5F5E400E6ABFB5132D3F40,"124 Licheng Road, Pudong",11:00 PM,11:00 AM,Fried Chicken Strips,N/A,Fixed,N/A,Shanghai,126,10,Spring 2016,4,Fujian,2,N/A,N/A,"<IMG SRC=""https://web.fulcrumapp.com/shares/3f97b78e5ae90a62/photos/6b9e2b42-1f95-4096-96f6-d4049575f0e4"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E61000002788BA0F405D5E4033A48AE255363F40,"241 South Xiangyang Road, Huangpu",10:30 AM,6:00 AM,Jianbing/Pancake,N/A,Fixed,On the cross with Yongkang Road. ,Shandong,142,4.5,Spring 2016,4,Shandong,3.5,N/A,N/A,"<IMG SRC=""https://web.fulcrumapp.com/shares/3f97b78e5ae90a62/photos/1ca52ef9-93ba-42fc-b0b9-8c645a2b0a27"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
,,,,,,,,,313,,,,,,,,
,,,,,,,,,314,,,,,,,,
0101000020E61000000264E8D8415F5E4040868E1D543A3F40,"380 Fuyou Road, Huangpu",8:00 PM,7:00 AM,Pancakes,Cart serving Xinjiang pancakes.,Fixed,N/A,Xinjiang,175,N/A,Spring 2015,3,Henan,3,Run by a couple.,N/A,"<IMG SRC=""http://i62.tinypic.com/2rfpv0x.jpg"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E6100000EDD286C3D25E5E407A7077D66E373F40,"173 Zhaozhou Road, Huangpu",8:30 AM,6:30 AM,Bread,Delicious Xinjiang Bread!,Moving,On the corner of Tangjiawan Road and Zhaozhou Road.,Xinjiang,178,N/A,Spring 2015,4,Xinjiang,3,Bread is made fresh!,N/A,"<IMG SRC=""http://i.imgur.com/N5OmihH.jpg"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E6100000D482177D055D5E40A3E6ABE463373F40,No. 999 Middle Huaihai Road,8:00 AM,2:30 PM,Cold Noodles,N/A,Moving,Across the IAPM Mall,N/A,280,15,Spring 2017,3.5,N/A,3,N/A,N/A,N/A
0101000020E6100000B64DF1B8A8615E40C38366D7BD3D3F40,"178 Yuanshen Road, Pudong",12:00 AM,3:00 PM,Fried BBQ,Fried Skewers.,Fixed,N/A,Fujian,1,5,Fall 2015,3,Fujian,1.5,The place sells Malatang and Fried barbecue. Skewers displayed on metal trays placed on metal tables.,N/A,"<IMG SRC=""http://i60.tinypic.com/dzbbs7.jpg"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E610000055C03DCF9F5D5E405F268A90BA3D3F40,N/A,11:00 PM,5:00 PM,Chicken,Roast Chicken.,Moving,N/A,N/A,2,9,Fall 2015,4,Anhui,4,N/A,N/A,"<IMG SRC=""http://i60.tinypic.com/mwqikj.jpg"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E6100000AABBB20B065D5E40D49E927362373F40,"595 Nanchang Road, Huangpu",10:30 AM,5:00 AM,Guotie/Potsticker,N/A,Moving,N/A,Anhui,3,4,Spring 2016,4,Anhui ,2.8,N/A,N/A,"<IMG SRC=""https://web.fulcrumapp.com/shares/3f97b78e5ae90a62/photos/f6dbe3bf-41b2-4aa0-870c-6faef3d6ae26"" ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E610000045B9347EE1615E40E4D9E55B1F3A3F40,N/A,2:00 AM,10:00 PM,Pancakes,Cart serving Henanese pancakes.,Moving,Directly across from the front door of NYU Shanghai campus.,Henan,4,,Spring 2015,5,Nanjing,3,Vendor came to Shanghai last year.,N/A,"<IMG SRC=""http://i.imgur.com/uiq6RsO.png""  ALT=""image not available"" WIDTH=165 HEIGHT=165>"
0101000020E6100000842C0B26FE645E4087156EF948423F40,Jinqiao Station Entrance,N/A,N/A,Naan bread,N/A,Moving,Entrance to the Jinqiao subway station,Xinjiang,303,N/A,Spring 2017,5,Xinjiang,5,N/A,N/A,N/A
